username,platform,content_type,category,country,influencer_tier,followers,following,posts,avg_likes,avg_comments,avg_shares,avg_views,engagement_rate,date_joined
patrickhubbard163,TikTok,Reel,Gaming,Brazil,Macro,553505,13620,448,23082,1146.0,802.0,234097,3.93,2023-10-16
dominique01285,YouTube,Reel,Tech,Germany,Micro,69230,25648,3957,6436,608.0,120.0,50922,7.62,2023-01-13
hbarker235,TikTok,Carousel,Tech,UK,Nano,3796,1600,1216,175,9.0,11.0,1072,4.15,2023-10-06
vincentwolf357,Twitter,Video,Sports,Japan,Nano,4097,3837,3989,285,27.0,13.0,0,7.96,2023-05-06
mary31693,Twitter,Carousel,Travel,Mexico,Micro,34265,18447,2614,1627,48.0,100.0,0,3.78,2023-01-24
dharrell515,TikTok,Image,Education,Mexico,Mega,2020147,15891,4202,33326,2052.0,1611.0,312420,1.47,2023-12-27
grantmejia595,YouTube,Reel,Fitness,France,Nano,8345,4358,3967,832,67.0,41.0,10203,10.8,2024-10-09
rickymartin536,Instagram,Live,Fitness,Brazil,Micro,31964,16311,4803,2184,115.0,100.0,0,5.8,2024-04-08
nicholsonrachel383,Twitter,Reel,Tech,France,Nano,9381,7293,3320,598,43.0,28.0,0,8.35,2023-09-25
meltonnicholas922,Instagram,Video,Sports,Brazil,Micro,30807,20314,4619,1955,119.0,29.0,0,5.37,2024-03-25
brianhahn360,Instagram,Video,Fashion,UK,Macro,752937,12586,3169,48836,2774.0,2581.0,0,5.08,2024-05-12
christina16637,Twitter,Video,Beauty,Brazil,Macro,143578,4366,174,3635,162.0,55.0,0,2.44,2023-04-21
vanessa46914,Twitter,Image,Sports,Germany,Nano,1939,893,126,92,6.0,4.0,0,5.79,2024-06-20
feverett422,Facebook,Carousel,Fashion,USA,Mega,8651440,46427,2045,61359,2390.0,759.0,0,0.95,2023-09-28
dkoch317,Twitter,Story,Fashion,Canada,Micro,40687,37528,3419,1427,167.0,24.0,0,3.56,2024-05-17
johnsoneric526,Twitter,Video,Food,India,Nano,7548,2492,3865,850,94.0,56.0,0,10.41,2023-03-06
bmurray7,YouTube,Image,Beauty,Japan,Micro,19351,14969,2006,492,28.0,5.0,6851,2.48,2023-04-13
hector07780,YouTube,Image,Tech,USA,Nano,7484,884,2620,249,10.0,19.0,2581,3.22,2023-03-20
hesskenneth859,Facebook,Video,Gaming,Mexico,Nano,5400,3674,3804,563,17.0,36.0,0,9.19,2023-02-10
allison15960,Instagram,Carousel,Sports,Germany,Nano,7972,3072,1253,418,15.0,8.0,0,6.27,2024-08-27
wevans400,TikTok,Story,Gaming,USA,Micro,29117,26731,1287,387,42.0,17.0,5190,1.74,2024-09-01
fwillis713,TikTok,Carousel,Fashion,UK,Macro,874710,21438,1172,10070,922.0,695.0,110372,1.45,2023-12-06
joshua52676,Twitter,Carousel,Sports,France,Nano,3795,1815,1143,184,21.0,10.0,0,5.56,2023-04-29
wilsonanne822,Twitter,Live,Beauty,Germany,Micro,75239,256,1268,4800,501.0,371.0,0,5.04,2024-09-22
nguyenpaul12,YouTube,Video,Travel,USA,Macro,535495,34051,2526,5452,562.0,354.0,46597,1.05,2024-07-21
trodriguez582,Twitter,Image,Sports,India,Nano,5903,3519,3177,276,11.0,16.0,0,4.39,2023-06-28
comptonamanda842,Twitter,Video,Tech,Mexico,Macro,782354,16943,350,16796,1360.0,250.0,0,2.42,2023-11-01
bberry353,Facebook,Carousel,Fitness,France,Micro,44693,7835,3793,1314,145.0,44.0,0,2.58,2023-04-24
ronaldhorn437,YouTube,Carousel,Tech,Australia,Micro,86285,9669,1771,1384,144.0,64.0,18250,1.94,2024-01-22
morganjessica738,TikTok,Carousel,Music,Germany,Nano,5999,2907,2511,251,24.0,7.0,2043,3.61,2023-01-31
adamsglenn221,Instagram,Image,Food,Germany,Nano,7811,3041,2417,154,16.0,11.0,0,2.21,2023-06-26
jessicamartin687,YouTube,Image,Fitness,France,Macro,328970,39334,4301,1765,108.0,117.0,26175,0.59,2024-05-10
goldentravis468,TikTok,Carousel,Sports,UK,Micro,38977,26099,3833,2958,241.0,29.0,16038,6.3,2024-11-19
riddlepaul625,Twitter,Video,Food,Germany,Macro,220795,41827,894,8231,457.0,527.0,0,2.97,2023-09-07
kimberly5824,TikTok,Image,Music,USA,Nano,9935,6266,535,393,36.0,15.0,1363,4.05,2024-01-09
brooksvictor37,TikTok,Reel,Sports,UK,Nano,7072,349,518,476,40.0,24.0,6165,9.12,2023-01-16
brandonsharp885,YouTube,Reel,Education,Brazil,Nano,1231,486,3393,119,6.0,5.0,565,8.8,2024-01-27
dianesullivan81,YouTube,Image,Gaming,Australia,Micro,39665,30167,513,1129,33.0,35.0,4459,2.55,2024-05-02
marcusgarcia752,TikTok,Video,Fitness,UK,Micro,48251,47976,2117,1946,81.0,127.0,21489,5.17,2024-06-02
ghooper266,YouTube,Live,Music,USA,Micro,49382,20457,2573,3717,124.0,177.0,37693,6.69,2024-04-30
danielle06570,YouTube,Story,Sports,Germany,Micro,54046,42809,1336,1610,114.0,82.0,20307,3.82,2024-07-31
owensarah626,Facebook,Story,Tech,UK,Mega,5827400,10020,2300,5267,469.0,,0,0.1,2024-08-28
zmedina956,Twitter,Video,Food,Australia,Micro,52168,47371,266,3306,189.0,164.0,0,5.37,2024-01-29
tmarshall756,YouTube,Live,Gaming,Mexico,Nano,4521,366,78,261,14.0,7.0,3694,6.86,2023-12-21
anne28319,TikTok,Image,Sports,France,Macro,292205,43890,4003,998,56.0,58.0,8436,0.28,2023-06-11
floydrebecca853,TikTok,Story,Education,India,Nano,2556,944,1956,87,2.0,3.0,388,3.01,2023-10-29
johnberg974,Facebook,Live,Tech,USA,Micro,54537,35990,4068,2129,108.0,54.0,0,4.08,2023-11-28
jguerrero163,Facebook,Image,Beauty,Canada,Micro,20987,17746,2292,1372,152.0,88.0,0,5.24,2024-03-19
tranrichard431,Twitter,Image,Sports,Japan,Macro,308778,10206,685,9783,,183.0,0,2.87,2024-07-16
gweeks37,Facebook,Live,Education,Canada,Nano,8735,2340,3612,644,19.0,16.0,0,7.46,2023-12-29
ramirezjesse293,Twitter,Reel,Sports,Mexico,Nano,3104,2221,3252,397,29.0,30.0,0,9.87,2024-03-06
ramirezdavid102,Facebook,Image,Travel,USA,Macro,187865,20921,4449,3914,227.0,,0,2.77,2023-05-09
rachelsosa675,Facebook,Video,Gaming,India,Macro,886636,48577,3035,33298,1497.0,871.0,0,2.92,2024-08-31
christinachan330,Instagram,Reel,Beauty,Japan,Nano,2013,996,4233,185,17.0,4.0,0,7.66,2024-11-28
gabriel29842,TikTok,Carousel,Travel,India,Nano,5788,3941,4013,396,40.0,25.0,5782,5.85,2024-03-06
lauracervantes705,TikTok,Video,Music,Brazil,Nano,5005,3651,1994,436,16.0,15.0,5804,10.63,2024-04-19
ebryan690,Facebook,Reel,Gaming,India,Micro,17648,12610,3749,875,96.0,29.0,0,6.11,2024-10-18
mroberts278,TikTok,Video,Music,France,Macro,547256,48285,2845,7010,173.0,321.0,55498,1.71,2024-05-23
rodrigueznathan807,Instagram,Live,Fitness,USA,Nano,5456,3671,4669,241,22.0,6.0,0,6.24,2024-08-20
kevinhunter607,Twitter,Video,Fashion,India,Macro,678995,7025,4009,26121,928.0,1909.0,0,3.51,2023-05-05
tgonzalez341,YouTube,Live,Sports,UK,Micro,84237,40100,876,3099,245.0,206.0,30086,4.86,2024-02-28
alexanderallen130,Instagram,Video,Music,USA,Micro,57453,34173,272,5019,474.0,86.0,0,8.97,2023-05-09
whitney11346,Twitter,Image,Fitness,Mexico,Macro,450005,7135,4190,349,25.0,8.0,0,0.1,2024-03-22
hannah20693,Instagram,Reel,Education,Brazil,Nano,2367,1107,2382,264,25.0,11.0,0,9.25,2024-05-15
geraldwalsh113,Twitter,Image,Beauty,France,Micro,74468,8458,4258,3146,179.0,51.0,0,4.43,2023-12-12
alvarezariel295,Twitter,Image,Sports,USA,Micro,71446,27193,1601,2905,153.0,137.0,0,5.37,2023-07-19
rbridges309,Instagram,Image,Beauty,India,Nano,5640,3506,4865,177,16.0,5.0,0,3.35,2024-04-01
gregorycaldwell916,TikTok,Reel,Beauty,Germany,Macro,665020,40390,1793,20005,1430.0,1444.0,298641,3.83,2023-05-11
laraangel56,TikTok,Carousel,Music,Canada,Mega,8903294,22411,543,152962,3670.0,9870.0,565501,1.98,2024-01-18
marilyn22234,Facebook,Live,Gaming,France,Micro,91219,32238,4478,4902,308.0,304.0,0,5.18,2023-03-22
rhorn847,TikTok,Video,Tech,France,Macro,772355,17376,2049,31742,3287.0,2366.0,391113,3.48,2024-04-14
beth94220,YouTube,Story,Sports,Australia,Micro,60127,32791,3458,1200,115.0,91.0,14735,2.17,2023-08-27
rebekahjensen533,Twitter,Reel,Education,Australia,Nano,2555,1131,4586,103,9.0,8.0,0,5.6,2023-04-25
paulacooke704,YouTube,Live,Fashion,India,Nano,5511,4010,1510,318,29.0,10.0,3836,8.02,2023-07-22
andrewsscott638,YouTube,Video,Travel,USA,Micro,67297,17583,4118,4262,205.0,172.0,31179,6.75,2024-10-19
hillrhonda89,Twitter,Story,Music,Canada,Mega,6866258,30590,2922,22471,1855.0,1365.0,0,0.27,2024-09-05
nmitchell22,Twitter,Story,Fitness,Japan,Nano,1887,1738,1459,115,9.0,8.0,0,4.86,2023-04-09
rfrey150,Facebook,Live,Travel,UK,Macro,803185,35620,3496,15332,916.0,711.0,0,1.89,2023-11-05
villegasanthony752,Instagram,Video,Travel,UK,Mega,6552571,9262,2605,81052,3471.0,1092.0,0,1.68,2023-02-10
rileycortez772,Twitter,Reel,Beauty,USA,Mega,4740567,24581,4926,170289,6433.0,8412.0,0,4.33,2024-10-07
allisonchang556,Facebook,Reel,Food,India,Micro,92917,3621,3924,5085,185.0,306.0,0,4.94,2024-03-10
ipotts739,Twitter,Reel,Food,UK,Micro,84422,22072,1616,4320,298.0,89.0,0,5.28,2023-10-15
whill183,YouTube,Video,Beauty,Brazil,Mega,9591777,38507,4731,204381,18066.0,6395.0,2631871,1.98,2023-03-09
charlesfoley734,Instagram,Video,Music,France,Micro,15576,4682,1446,1051,123.0,12.0,0,7.61,2024-02-19
toddmichael893,TikTok,Image,Travel,Australia,Macro,328305,41143,2404,4142,206.0,225.0,27899,1.69,2024-05-08
vsmith36,Twitter,Image,Food,Australia,Macro,591836,47782,2421,629,70.0,42.0,0,0.1,2023-04-11
christina53701,Instagram,Reel,Tech,Australia,Macro,668309,31566,721,20159,566.0,682.0,0,2.6,2024-05-17
danielbell998,Facebook,Reel,Travel,USA,Nano,5486,4906,2258,482,41.0,29.0,0,7.91,2024-10-21
hickmanricky453,TikTok,Video,Sports,Japan,Micro,73101,45269,4362,3593,197.0,48.0,29065,6.51,2023-08-08
beth01884,Facebook,Carousel,Education,Australia,Nano,8587,1515,1607,416,11.0,21.0,0,6.27,2024-11-12
tyler84972,Twitter,Live,Fashion,India,Nano,8185,2607,2276,659,41.0,14.0,0,7.7,2023-10-25
tami8090,YouTube,Video,Fashion,Brazil,Micro,75139,27863,2359,3360,320.0,132.0,41654,4.47,2024-09-03
gabrielbryan880,Facebook,Reel,Music,Germany,Micro,77004,605,1471,5514,260.0,329.0,0,7.22,2024-07-20
tina90909,Twitter,Story,Education,India,Micro,37134,34919,4033,711,40.0,56.0,0,1.95,2024-01-31
joshua01142,TikTok,Image,Fashion,,Nano,7857,1519,1239,377,8.0,17.0,2137,5.5,2023-03-19
arianalara294,YouTube,Reel,Gaming,Germany,Macro,825839,24339,2592,36696,3416.0,374.0,233935,3.77,2023-04-11
carterdavid63,Facebook,Image,Gaming,Japan,Nano,5149,1346,4560,264,16.0,6.0,0,5.16,2023-03-13
hollandbrittany490,Instagram,Image,Fitness,France,Micro,79229,43041,3776,2804,176.0,50.0,0,3.2,2024-09-19
kayleebush595,Facebook,Image,Travel,Mexico,Macro,357709,36401,3529,10981,1015.0,514.0,0,3.06,2024-06-18
omcdonald256,Facebook,Image,Beauty,Canada,Nano,8330,1779,4421,307,32.0,12.0,0,4.47,2023-05-26
mcconnellian262,TikTok,Video,Education,Mexico,Macro,762499,8820,2958,28376,1929.0,2220.0,164414,3.48,2024-06-12
villanuevapatricia419,Facebook,Reel,Fashion,Brazil,Mega,5853906,3869,2884,220316,24426.0,14232.0,0,4.67,2023-06-07
montoyajohn494,Twitter,Image,Music,USA,Macro,571359,27186,4419,13516,887.0,1063.0,0,2.51,2024-09-08
nkramer288,Instagram,Story,Food,Mexico,Nano,8173,7429,4713,216,13.0,16.0,0,3.09,2024-05-12
blackwellcarlos359,Instagram,Live,Gaming,UK,Mega,3353606,18427,1250,3128,79.0,82.0,0,0.1,2024-02-03
elizabeth27996,Instagram,Story,Music,Germany,Macro,216423,13959,674,231,23.0,14.0,0,0.1,2024-01-09
nelsonlisa724,Twitter,Image,Fitness,Australia,Micro,36724,34401,3260,1163,63.0,,0,2.99,2024-11-24
watsonjeffrey707,TikTok,Image,Music,France,Micro,11086,9413,3562,223,18.0,11.0,2036,2.81,2023-11-17
ftate241,Instagram,Carousel,Food,Germany,Micro,50692,32066,4985,1635,109.0,41.0,0,3.22,2023-11-26
tanyawyatt892,Twitter,Carousel,Sports,Mexico,Micro,18060,15059,3652,740,68.0,37.0,0,4.13,2023-11-11
stephensonkyle863,Twitter,Live,Food,France,Mega,4975238,30260,1122,223024,4694.0,9985.0,0,3.53,2024-05-02
jeremy48694,Twitter,Story,Education,Japan,Micro,41881,16624,896,1260,112.0,91.0,0,2.48,2024-08-31
kendrawilliams701,Instagram,Video,Gaming,Canada,Macro,173791,519,2811,3073,355.0,38.0,0,2.23,2024-09-24
millerrobert347,Instagram,Carousel,Beauty,Canada,Macro,463217,9514,1294,11817,495.0,602.0,0,2.03,2024-03-22
rkeller615,YouTube,Image,Tech,UK,Nano,9783,9514,4694,362,18.0,23.0,1909,2.87,2024-07-31
jonesdavid14,YouTube,Image,Fashion,Brazil,Micro,51527,48466,2870,1073,56.0,79.0,9420,2.17,2023-03-08
eduardo10704,Twitter,Image,Gaming,USA,Micro,18349,16565,346,465,33.0,20.0,0,2.14,2023-01-26
pharris518,Twitter,Story,Sports,Brazil,Macro,252321,38307,4265,617,31.0,29.0,0,0.33,2023-05-19
wmiller585,Facebook,Image,Fashion,UK,Micro,17393,12660,2634,180,4.0,6.0,0,1.13,2023-04-20
tiffany66279,Instagram,Image,Gaming,India,Nano,9950,4416,2680,334,40.0,16.0,0,3.69,2023-10-06
kristinawest260,Instagram,Story,Travel,Canada,Mega,8178453,32840,1539,7458,378.0,110.0,0,0.1,2024-01-17
brittney14279,Facebook,Reel,Fitness,Canada,Micro,54073,24448,397,1229,43.0,,0,2.42,2023-11-13
njenkins444,Twitter,Video,Beauty,India,Macro,245257,22023,1821,17895,1982.0,1021.0,0,6.06,2024-01-21
jennifer83587,Instagram,Carousel,Fashion,France,Micro,77020,21715,3517,4917,414.0,288.0,0,5.27,2024-05-02
meganadams750,YouTube,Story,Food,Mexico,Micro,44937,21438,1572,450,15.0,22.0,4555,1.2,2024-08-03
johnsonjorge77,Twitter,Video,Sports,USA,Nano,8464,3168,2537,776,76.0,34.0,0,9.62,2023-04-14
rlewis627,Facebook,Video,Tech,Japan,Micro,98308,7247,4533,3980,272.0,93.0,0,5.19,2023-01-08
dschneider528,Facebook,Image,Food,Germany,Micro,31296,6892,117,1242,91.0,79.0,0,4.67,2023-07-05
jeff6033,Twitter,Carousel,Tech,France,Micro,62875,2332,4363,5016,555.0,188.0,0,6.24,2023-02-11
david34874,Instagram,Live,Beauty,Canada,Micro,55832,21571,958,3594,323.0,90.0,0,5.14,2023-04-05
brianlogan819,TikTok,Carousel,Travel,Canada,Mega,6587167,40797,3729,161420,4948.0,8797.0,2346488,2.52,2023-04-20
clarkmichael466,TikTok,Story,Music,USA,Micro,93178,6172,3338,2234,232.0,171.0,13969,1.86,2023-04-24
dennispruitt241,Instagram,Video,Fashion,Japan,Mega,7962980,36360,4403,53780,5973.0,2009.0,0,0.56,2023-12-07
aguilarmichele239,Twitter,Image,Education,Australia,Micro,57261,11154,383,1308,142.0,69.0,0,2.15,2023-05-16
kgonzalez562,Facebook,Video,Gaming,UK,Nano,8029,4413,892,1005,71.0,31.0,0,9.76,2023-06-14
qparker202,Facebook,Image,Gaming,Brazil,Macro,663605,5782,1654,7466,641.0,467.0,0,0.89,2024-11-24
joshua27789,TikTok,Reel,Food,USA,Mega,1080858,37956,3747,14496,1024.0,626.0,95169,1.68,2023-08-21
richardsonkevin971,Facebook,Live,Food,Australia,Macro,179841,11251,1324,4965,581.0,191.0,0,2.59,2024-06-19
thomasrandy156,TikTok,Live,Travel,USA,Nano,6146,3761,2528,487,42.0,15.0,4545,7.1,2024-05-03
lisamoses153,Facebook,Live,Gaming,USA,Macro,464079,25322,465,12096,773.0,620.0,0,2.76,2023-09-26
marquezdonna243,TikTok,Video,Food,Canada,Nano,6181,2470,1042,440,22.0,22.0,6331,8.33,2024-03-18
garciacheryl252,TikTok,Story,Fitness,India,Nano,7978,2163,3128,148,4.0,6.0,2025,1.54,2023-08-06
amy55234,Twitter,Live,Beauty,UK,Nano,6888,3209,904,362,10.0,14.0,0,5.66,2024-04-30
garybender981,YouTube,Reel,Gaming,Canada,Nano,2452,2094,57,197,5.0,8.0,753,9.81,2024-11-03
lori99180,TikTok,Carousel,Food,Germany,Micro,22928,17881,1561,284,30.0,15.0,1966,1.43,2024-04-23
ywhite731,Facebook,Reel,Gaming,USA,Macro,642596,4594,4258,21665,990.0,1573.0,0,4.62,2024-04-24
cmanning3,YouTube,Image,Fashion,,Micro,69726,22407,2064,3768,,,28719,4.3,2024-11-18
jasmine40828,TikTok,Carousel,Food,Mexico,Micro,77059,32407,1462,2081,148.0,54.0,7560,3.6,2023-05-23
mvillanueva600,Twitter,Image,Tech,Brazil,Macro,332765,13701,2154,399,32.0,13.0,0,0.1,2023-12-06
jillbailey882,Instagram,Carousel,Education,Brazil,Micro,52909,17150,3008,2252,82.0,141.0,0,3.53,2023-12-19
erinmonroe733,YouTube,Story,Education,Brazil,Macro,984441,28565,4822,7438,293.0,417.0,94553,0.82,2023-03-05
halldeborah298,Instagram,Story,Music,Mexico,Macro,263929,17032,744,258,27.0,15.0,0,0.1,2024-02-01
gilbertbrad907,Instagram,Video,Sports,Mexico,Macro,835265,42102,414,20412,1157.0,647.0,0,2.98,2023-10-23
riosbilly551,YouTube,Reel,Fashion,India,Micro,80781,13446,2137,7236,560.0,165.0,38148,7.78,2023-07-12
austinmarcia456,Facebook,Carousel,Sports,Germany,Micro,83700,18366,3963,4140,147.0,59.0,0,4.76,2024-09-29
nicholas79356,Twitter,Carousel,Gaming,France,Micro,31285,14375,2738,899,87.0,41.0,0,2.85,2024-03-09
xanderson183,Twitter,Video,Travel,USA,Macro,182079,32410,4235,2448,202.0,66.0,0,1.68,2023-09-26
john06436,Instagram,Carousel,Fitness,Canada,Nano,6501,2463,3729,304,29.0,10.0,0,5.37,2024-09-25
hernandezjeffrey361,Facebook,Image,Music,UK,Micro,58712,22486,1585,1705,70.0,91.0,0,2.38,2023-03-07
melissa15996,Instagram,Reel,Travel,Germany,Macro,540377,47532,4372,26297,581.0,1710.0,0,3.84,2023-06-05
kbrown733,TikTok,Reel,Food,France,Micro,52059,2649,639,2618,79.0,126.0,28728,5.3,2023-04-16
mcampbell130,YouTube,Image,Sports,France,Mega,2788610,12619,1127,33319,3532.0,1306.0,304678,1.48,2023-09-26
kyle53501,YouTube,Reel,Travel,UK,Micro,26726,21268,2763,1696,,41.0,14751,8.26,2024-02-07
kyle44191,Facebook,Reel,Education,Canada,Micro,14225,12577,2901,1141,132.0,65.0,0,6.92,2023-11-02
xreynolds85,YouTube,Image,Gaming,Brazil,Micro,45221,12438,4619,1106,97.0,27.0,12837,2.58,2024-03-31
robert63391,Facebook,Reel,Travel,UK,Nano,9981,9261,3729,638,31.0,21.0,0,8.42,2024-10-07
abrowning13,Instagram,Image,Travel,France,Micro,12870,7203,4385,367,28.0,4.0,0,2.21,2024-01-18
charlesray127,Twitter,Live,Music,Japan,Micro,84577,43870,1790,6975,536.0,365.0,0,6.37,2024-10-23
jacqueline33869,Facebook,Carousel,Music,Australia,Nano,2928,247,81,117,13.0,1.0,0,5.01,2024-05-21
floressharon514,TikTok,Story,Gaming,Brazil,Macro,575091,33175,1079,4515,182.0,97.0,39199,0.95,2024-03-20
michael32313,Twitter,Story,Beauty,Canada,Macro,381629,3991,559,3031,87.0,64.0,0,0.96,2023-03-28
brian0047,Facebook,Carousel,Education,Brazil,Macro,522128,5223,1656,9289,,281.0,0,1.56,2024-11-09
jason66889,YouTube,Live,Fashion,UK,Micro,85139,36014,2718,2665,201.0,144.0,39645,3.3,2023-12-06
williamsconnor444,Facebook,Carousel,Travel,Germany,Mega,4159829,48713,1378,53105,4075.0,3390.0,0,1.68,2024-07-15
dhernandez128,Instagram,Reel,Tech,India,Macro,637058,47322,4714,15438,377.0,448.0,0,3.17,2023-11-21
brittany70931,TikTok,Live,Food,Germany,Nano,1976,1081,2191,159,3.0,2.0,938,7.8,2024-02-16
athomas615,YouTube,Reel,Fitness,USA,Macro,280102,45933,1805,8609,433.0,167.0,97325,2.6,2023-08-05
garciasherry541,Twitter,Video,Fitness,UK,Nano,9796,2364,2274,1378,90.0,82.0,0,11.06,2024-02-14
xwillis400,TikTok,Live,Tech,Australia,Macro,553518,6791,4506,9150,344.0,455.0,87629,1.65,2024-01-29
natalie84851,Instagram,Carousel,Tech,Canada,Nano,8998,350,3844,492,10.0,31.0,0,7.81,2023-04-14
richardwright53,TikTok,Story,Food,,Micro,95117,13456,2879,78,2.0,1.0,861,0.1,2024-02-03
meyerronald26,TikTok,Live,Travel,Australia,Macro,462372,9167,4043,15338,,548.0,132002,3.22,2023-08-21
yquinn94,Instagram,Image,Tech,France,Mega,7974518,12607,560,98408,9481.0,7295.0,0,1.43,2024-01-01
vbuchanan19,Facebook,Reel,Music,Brazil,Micro,80698,43092,3387,4632,413.0,97.0,0,4.99,2023-08-06
toddnathaniel443,Facebook,Story,Fashion,Brazil,Micro,95608,23416,633,2614,233.0,47.0,0,2.16,2024-01-24
bhughes704,Twitter,Video,Travel,Japan,Micro,35657,12142,1392,2604,246.0,80.0,0,8.14,2023-11-29
stephaniewilson563,YouTube,Carousel,Music,France,Macro,963889,39165,2104,1089,70.0,57.0,6033,0.1,2023-11-19
derrickking79,YouTube,Live,Travel,France,Nano,9129,1547,2372,498,43.0,15.0,7198,7.8,2024-10-18
chrisbrown667,TikTok,Carousel,Fashion,UK,Micro,70321,7115,129,683,14.0,52.0,9343,0.97,2023-07-14
michaelromero192,TikTok,Story,Food,Germany,Nano,1270,946,1656,17,0.0,1.0,179,1.24,2023-03-17
max94396,Twitter,Carousel,Beauty,Germany,Nano,8969,7944,3561,657,55.0,41.0,0,7.71,2023-07-10
alexandria32176,Facebook,Story,Gaming,Brazil,Nano,2458,2353,4605,46,1.0,0.0,0,1.7,2023-01-02
william05974,Twitter,Live,Education,USA,Micro,60437,35493,780,1588,167.0,47.0,0,3.54,2024-03-08
gonzalezalexandra470,Instagram,Reel,Fashion,Brazil,Micro,86436,27541,249,6252,734.0,128.0,0,5.7,2024-05-28
rodriguezwilliam977,Facebook,Carousel,Gaming,USA,Micro,21092,12178,582,1564,119.0,57.0,0,6.44,2023-12-12
daniellesmith754,Twitter,Story,Sports,India,Mega,9467138,12632,132,8529,925.0,338.0,0,0.1,2023-10-20
richardsonmelinda588,Twitter,Live,Food,USA,Nano,3249,1059,1148,189,4.0,13.0,0,5.94,2024-10-15
acevedoryan554,TikTok,Live,Food,UK,Micro,30192,8046,1686,2626,61.0,54.0,14085,6.75,2024-08-13
jdaniel844,Facebook,Live,Beauty,USA,Nano,2965,2136,4782,356,29.0,28.0,0,9.43,2024-07-08
johnsonbradley134,Twitter,Story,Tech,Australia,Micro,71312,16212,1291,1019,64.0,48.0,0,1.53,2023-07-06
rogerclark392,Facebook,Reel,Gaming,France,Nano,5189,2318,3774,412,41.0,14.0,0,7.15,2023-01-24
katherine93214,Facebook,Video,Fitness,Canada,Micro,84190,9355,3606,8205,265.0,372.0,0,9.12,2023-03-06
fbrown606,Instagram,Video,Music,Germany,Nano,4579,1051,4754,553,66.0,40.0,0,11.51,2024-03-24
jennifer11452,Twitter,Image,Travel,India,Micro,10170,965,2793,455,43.0,13.0,0,3.45,2023-06-24
kevin84219,Instagram,Story,Tech,Mexico,Micro,95208,7405,2170,827,28.0,38.0,0,0.68,2024-08-29
jonesangela922,Twitter,Image,Fitness,India,Micro,78974,15346,3514,2363,279.0,42.0,0,2.58,2023-01-15
richard23216,TikTok,Reel,Fitness,USA,Nano,8796,4486,4933,703,25.0,27.0,8261,8.45,2024-06-30
carolmorris109,Facebook,Carousel,Food,Japan,Nano,9078,4655,2327,564,67.0,10.0,0,6.16,2024-05-05
brandonbuck702,YouTube,Image,Sports,India,Macro,205344,34271,2782,7611,827.0,519.0,82096,3.18,2023-12-16
jasonhernandez650,Instagram,Video,Music,France,Micro,25825,4413,383,2365,59.0,70.0,0,7.66,2023-12-12
kimberly53409,Facebook,Reel,Music,UK,Micro,11932,2403,941,420,19.0,5.0,0,4.65,2023-03-25
wendycastro982,Twitter,Reel,Gaming,India,Nano,2557,2377,4554,246,19.0,10.0,0,10.29,2024-04-15
joseph43486,Instagram,Story,Food,Mexico,Nano,9712,5803,384,226,15.0,,0,2.78,2023-09-19
kimmiller756,YouTube,Video,Music,India,Nano,9473,8475,2451,788,23.0,14.0,3107,10.42,2023-11-05
christinehall779,YouTube,Video,Fitness,Germany,Micro,84329,27146,4618,6899,570.0,212.0,86629,8.36,2023-01-17
smckenzie45,Instagram,Video,Sports,Australia,Micro,89831,6915,2126,3956,188.0,41.0,0,5.27,2024-10-06
rollinscharles691,YouTube,Video,Education,Japan,Macro,173961,36561,3302,6106,358.0,458.0,46729,3.56,2024-07-05
holly91800,YouTube,Live,Fashion,Mexico,Micro,26577,3560,4203,1166,112.0,86.0,15885,4.31,2023-08-20
blarson157,TikTok,Carousel,Fitness,India,Micro,67662,14677,689,1105,124.0,49.0,9430,2.08,2024-02-18
reyestyler30,Instagram,Live,Sports,USA,Micro,96640,31365,907,6648,521.0,495.0,0,5.37,2024-10-01
barbara02863,Instagram,Reel,Fashion,Japan,Micro,79078,45815,828,8868,392.0,360.0,0,8.95,2023-08-09
ann16878,TikTok,Story,Fitness,India,Macro,419527,10515,733,414,40.0,31.0,4688,0.1,2024-01-29
jennyberry706,TikTok,Video,Gaming,,Micro,64996,7890,691,4155,222.0,266.0,59562,6.56,2024-06-18
allisondavis141,Instagram,Live,Beauty,Canada,Macro,301078,12274,4840,12109,932.0,536.0,0,3.47,2023-12-14
sullivanfrancisco689,TikTok,Reel,Gaming,USA,Micro,41148,35195,2124,2036,218.0,106.0,21453,6.09,2024-03-17
rhodescarol67,Facebook,Live,Travel,India,Macro,314071,35501,4073,6980,240.0,359.0,0,2.56,2023-01-04
millsjames581,YouTube,Image,Sports,Canada,Micro,38470,22689,3453,293,6.0,3.0,1748,1.08,2024-11-03
roystephen48,Instagram,Video,Fitness,India,Macro,553668,36031,3697,19327,387.0,1321.0,0,3.88,2024-09-04
hhawkins933,Facebook,Carousel,Sports,India,Nano,8552,6570,1590,473,36.0,13.0,0,4.85,2024-08-12
michael90399,Instagram,Story,Travel,Canada,Micro,44959,38553,3356,45,3.0,1.0,0,0.1,2023-07-18
nealchristina638,Twitter,Live,Education,USA,Micro,69990,46408,4683,3978,317.0,239.0,0,6.38,2024-01-29
wwhite771,Instagram,Carousel,Fitness,Canada,Micro,70573,6410,2179,4526,336.0,73.0,0,5.11,2024-03-31
