username,platform,content_type,category,country,influencer_tier,followers,following,posts,avg_likes,avg_comments,avg_shares,avg_views,engagement_rate,date_joined,engagement_quality,follower_category
molinaleslie335,Instagram,Live,Sports,Australia,Nano,9408,562,4731,369,34,24,0,5.2,2024-04-09,High,Nano
campbellsierra754,Instagram,Video,Tech,Mexico,Mega,4966308,15510,1695,193723,10207,8800,0,3.43,2023-08-01,High,Mega
vmorris236,TikTok,Video,Travel,France,Micro,36444,5201,3610,3006,273,239,11378,6.39,2024-01-25,Viral,Micro
johnmiller586,YouTube,Carousel,Fitness,Australia,Micro,56991,11003,4154,3408,363,84,48534,4.89,2024-07-11,High,Micro
vstark355,YouTube,Live,Tech,India,Micro,80700,36214,2803,3448,395,177,40376,5.48,2023-11-07,High,Micro
operry201,Twitter,Video,Music,Japan,Micro,23104,14099,708,1524,131,70,0,5.72,2024-09-11,High,Micro
patriciaberger84,Instagram,Carousel,Beauty,Brazil,Macro,455165,7373,3562,8404,350,388,0,2.43,2024-01-31,Medium,Macro
goodwinalice5,Twitter,Video,Gaming,India,Micro,41589,25171,1950,1519,133,66,0,4.37,2024-05-10,High,Micro
donald19144,Twitter,Story,Beauty,Brazil,Macro,282535,19929,4882,3500,346,234,0,1.62,2024-04-06,Medium,Macro
timothycarroll566,Facebook,Reel,Education,UK,Macro,386106,40461,543,10472,659,553,0,3.6,2024-03-30,High,Macro
perezjose464,Twitter,Carousel,Music,Japan,Micro,74408,39915,968,4500,96,290,0,4.73,2023-05-04,High,Micro
alvarezandrew489,TikTok,Carousel,Fashion,Germany,Micro,23475,1701,2237,1179,58,31,15501,5.23,2024-01-23,High,Micro
christophersavage224,TikTok,Carousel,Beauty,Australia,Micro,87195,40503,516,4141,323,67,18859,4.4,2023-02-27,High,Micro
lance91956,Facebook,Carousel,Beauty,UK,Micro,78531,31963,3512,2638,83,65,0,4.14,2023-07-27,High,Micro
nnolan730,TikTok,Story,Beauty,Mexico,Micro,89491,25777,4202,516,50,19,4719,0.59,2023-12-09,Low,Micro
chaveztristan356,TikTok,Image,Education,Japan,Nano,7639,3138,3591,184,12,2,2345,2.99,2023-12-07,Medium,Nano
stephaniewright622,YouTube,Story,Fitness,France,Macro,545635,39874,1062,13915,1003,467,171728,2.32,2023-03-04,Medium,Macro
sarah50320,Facebook,Live,Education,UK,Micro,52633,46028,1684,3920,186,161,0,6.67,2023-03-29,Viral,Micro
victorianguyen564,Facebook,Live,Food,Germany,Nano,2166,1744,281,136,6,9,0,6.91,2023-05-27,Viral,Nano
jasonsmith52,TikTok,Reel,Fitness,India,Micro,58503,13276,171,2791,242,122,31506,6.0,2023-08-26,High,Micro
tharris637,Twitter,Live,Education,Mexico,Macro,612231,26001,240,8795,762,88,0,1.61,2023-04-11,Medium,Macro
pkirby578,TikTok,Video,Education,UK,Macro,339562,7855,2237,14771,1484,253,173067,5.01,2023-06-06,High,Macro
michaellee452,YouTube,Image,Fashion,Mexico,Nano,6205,5738,4803,216,19,11,659,4.64,2023-11-08,High,Nano
joshuawatson354,TikTok,Live,Education,UK,Micro,17184,6253,4138,1407,168,0,8283,7.28,2024-05-21,Viral,Micro
williamscharles572,Twitter,Live,Fitness,France,Micro,81327,13910,1612,2759,92,101,0,3.9,2024-10-11,High,Micro
lharrison814,Facebook,Carousel,Gaming,France,Nano,1688,1245,444,73,3,1,0,5.31,2024-03-08,High,Nano
ogarcia200,Instagram,Reel,Fitness,Germany,Macro,143012,7882,2391,4131,346,204,0,3.52,2024-10-02,High,Macro
scottvictor682,YouTube,Carousel,Travel,,Mega,8614915,10559,4362,136710,12573,2820,2011365,2.07,2024-03-20,Medium,Mega
ronald45941,YouTube,Story,Tech,Brazil,Nano,7163,4556,233,149,12,6,1654,2.14,2023-08-30,Medium,Nano
wmurphy318,Facebook,Story,Travel,Japan,Mega,9047321,29573,2925,11272,1093,223,0,0.1,2024-03-09,Low,Mega
abrady314,TikTok,Live,Food,USA,Micro,99338,25704,4297,4857,238,313,55018,6.01,2023-06-16,Viral,Micro
tobrien46,Instagram,Live,Tech,Brazil,Micro,44396,41628,3900,3309,113,85,0,5.82,2024-09-13,High,Micro
nknox26,Facebook,Live,Fashion,Brazil,Micro,57869,40395,1988,2585,87,187,0,3.85,2023-04-02,High,Micro
uflores591,Twitter,Live,Education,Brazil,Nano,9514,4941,1782,680,39,53,0,8.83,2023-11-04,Viral,Nano
sheryl45650,Twitter,Reel,Music,Mexico,Micro,32448,24318,2723,2003,151,96,0,7.34,2023-04-25,Viral,Micro
brian7615,TikTok,Live,Fitness,Germany,Macro,677312,24114,476,23429,1619,465,195843,2.86,2024-04-22,Medium,Macro
jorge817,YouTube,Live,Tech,UK,Nano,8406,4050,2067,597,48,0,4258,7.3,2023-06-30,Viral,Nano
qsmith366,TikTok,Video,Fashion,Brazil,Micro,27201,14972,4904,1984,53,156,27595,7.26,2023-12-01,Viral,Micro
juliemiles479,Instagram,Image,Gaming,Brazil,Micro,94357,13721,1743,1114,107,44,0,1.61,2023-04-16,Medium,Micro
jean70576,Twitter,Reel,Gaming,Canada,Micro,32843,3332,1323,1513,55,45,0,5.98,2023-12-22,High,Micro
huntbrian77,YouTube,Live,Sports,France,Mega,6879701,39307,2681,6457,0,495,65700,0.1,2023-11-01,Low,Mega
kaylee53557,TikTok,Reel,Beauty,Brazil,Macro,548364,22962,1446,28408,2713,1797,394453,4.29,2023-12-29,High,Macro
smithjoseph406,Twitter,Carousel,Education,Japan,Micro,56937,21173,46,1474,77,65,0,2.09,2023-02-23,Medium,Micro
zachary26468,Twitter,Story,Sports,Japan,Mega,6655764,40486,2574,115246,6615,6324,0,2.34,2024-05-30,Medium,Mega
jchavez400,Instagram,Carousel,Tech,,Nano,9184,5005,395,526,12,32,0,5.36,2024-10-05,High,Nano
jpittman189,YouTube,Story,Tech,Canada,Micro,48764,1908,1343,519,17,22,1557,1.4,2023-04-23,Medium,Micro
matthewshelton524,YouTube,Story,Fashion,UK,Micro,98078,32383,1111,999,46,67,14734,0.9,2023-10-28,Low,Micro
jessicaflowers321,Twitter,Carousel,Sports,Australia,Micro,51302,18174,2703,2041,67,105,0,3.61,2024-07-13,High,Micro
elizabeth08664,YouTube,Live,Travel,France,Micro,96606,28493,555,5627,455,385,62966,6.65,2024-10-22,Viral,Micro
obennett469,Facebook,Live,Beauty,UK,Nano,8757,823,67,402,20,7,0,4.21,2024-08-11,High,Nano
kyle05770,YouTube,Video,Food,,Nano,7934,7712,798,744,46,8,7077,11.13,2024-11-19,Viral,Nano
robinsondavid298,TikTok,Story,Gaming,USA,Micro,69281,40536,2976,1769,205,25,23284,2.06,2024-11-19,Medium,Micro
sarah23584,TikTok,Story,Fitness,UK,Nano,5910,1631,4218,44,3,3,561,0.95,2023-10-05,Low,Nano
carlos10778,Instagram,Reel,Music,Australia,Nano,6389,5066,999,338,19,6,0,7.35,2024-04-03,Viral,Nano
xlane176,Twitter,Video,Education,Mexico,Mega,1497111,38567,3481,80669,7113,1330,0,4.17,2023-04-13,High,Mega
lopezmichelle598,Facebook,Carousel,Music,Brazil,Micro,88767,35364,2995,2230,217,78,0,2.83,2024-02-24,Medium,Micro
palmercarlos183,Facebook,Image,Tech,Japan,Micro,96020,39292,2072,927,0,45,0,1.26,2024-10-22,Medium,Micro
bowmanvictoria343,Twitter,Reel,Food,India,Nano,4691,3093,2130,428,11,8,0,10.0,2023-04-23,Viral,Nano
courtneyedwards607,Twitter,Image,Fitness,Mexico,Nano,4189,937,1651,184,20,10,0,4.25,2023-10-03,High,Nano
mcclurealicia123,Instagram,Image,Music,Australia,Macro,654428,41379,735,2026,41,99,0,0.31,2023-03-31,Low,Macro
adam44149,YouTube,Image,Education,Mexico,Micro,97621,5443,2266,3571,145,59,20788,2.9,2023-04-11,Medium,Micro
jameskeller755,Twitter,Story,Education,Mexico,Micro,42202,33698,345,203,13,13,0,0.42,2023-06-26,Low,Micro
timothy21101,Instagram,Story,Tech,UK,Macro,420064,20944,1969,8105,400,542,0,2.22,2024-07-29,Medium,Macro
lauren62191,Twitter,Carousel,Sports,France,Micro,14507,10293,2801,895,104,0,0,5.23,2024-10-09,High,Micro
markwilliams36,Facebook,Carousel,Tech,UK,Nano,2597,491,1838,166,15,7,0,6.4,2023-09-21,Viral,Nano
mcollins49,YouTube,Video,Beauty,Australia,Micro,53528,34215,2856,4230,354,189,24007,7.03,2023-06-16,Viral,Micro
bclarke55,Instagram,Live,Beauty,UK,Micro,73767,11613,3319,5571,419,445,0,7.06,2024-10-11,Viral,Micro
johnsonjason399,Twitter,Image,Fashion,Canada,Nano,2732,1872,3102,125,5,5,0,3.84,2023-08-07,High,Nano
dbrown335,YouTube,Story,Tech,USA,Macro,357151,17851,1974,440,23,23,1850,0.1,2024-08-16,Low,Macro
tiffanycollier450,Instagram,Story,Tech,Mexico,Nano,9628,5932,2111,246,28,18,0,2.94,2024-08-31,Medium,Nano
candice88583,YouTube,Carousel,Fitness,Australia,Macro,790710,8328,2521,45674,1164,2021,568303,4.66,2023-08-25,High,Macro
robertknapp164,TikTok,Story,Fashion,Germany,Macro,441376,31884,2984,335,16,9,2695,0.1,2023-11-22,Low,Macro
samanthajones301,TikTok,Image,Music,Canada,Micro,61629,1731,1888,1196,61,13,11628,2.21,2024-07-25,Medium,Micro
kriley767,YouTube,Video,Travel,Mexico,Nano,8157,5140,1802,924,75,41,5661,10.1,2023-05-16,Viral,Nano
garrettchristopher191,Twitter,Live,Food,France,Nano,3483,3035,22,198,6,15,0,7.14,2023-04-11,Viral,Nano
woconnell877,TikTok,Reel,Tech,UK,Nano,8459,5761,3966,787,19,24,3011,7.46,2023-02-23,Viral,Nano
ssmith544,Twitter,Image,Tech,Brazil,Micro,89184,13845,3745,3680,304,269,0,3.99,2023-01-01,High,Micro
philipbennett901,TikTok,Story,Travel,Australia,Micro,99441,10527,1864,5538,605,359,81032,4.43,2024-01-14,High,Micro
jgould277,Instagram,Live,Fashion,Canada,Micro,76505,34687,774,4122,366,190,0,5.19,2024-09-27,High,Micro
jamiehanson348,YouTube,Story,Food,Australia,Macro,845306,12532,2100,875,42,56,2646,0.1,2023-11-23,Low,Macro
katherinehernandez190,YouTube,Carousel,Travel,Brazil,Nano,8434,927,2225,370,35,15,3886,3.9,2023-08-09,High,Nano
martinezvanessa233,TikTok,Image,Fitness,Brazil,Macro,909663,14843,3774,19131,443,224,205515,1.75,2024-10-25,Medium,Macro
christopher85933,Instagram,Live,Music,Australia,Macro,278999,48382,4702,9908,0,264,0,4.02,2023-03-27,High,Macro
wolftimothy784,YouTube,Carousel,Education,Mexico,Macro,716616,37383,923,18761,1501,290,89262,2.73,2024-04-27,Medium,Macro
jonesjennifer475,YouTube,Carousel,Fitness,Mexico,Micro,14891,13471,1184,568,43,30,2229,3.96,2024-08-02,High,Micro
wesley76478,Twitter,Story,Sports,France,Nano,7646,495,4391,118,13,8,0,1.69,2023-05-28,Medium,Nano
fbest881,Twitter,Reel,Fashion,,Micro,26574,12155,3871,1025,60,34,0,4.63,2024-01-31,High,Micro
jacksonjohnathan763,Twitter,Story,Beauty,Australia,Macro,350772,36058,1949,7006,792,302,0,1.9,2023-04-04,Medium,Macro
gvargas874,Facebook,Carousel,Beauty,Canada,Nano,7363,4951,1435,422,10,9,0,6.86,2023-07-18,Viral,Nano
rthomas38,Twitter,Image,Beauty,USA,Nano,9540,963,718,239,22,5,0,1.99,2024-01-07,Medium,Nano
susangriffin977,Twitter,Reel,Fitness,Canada,Macro,282885,10567,4726,16111,580,1284,0,5.15,2023-12-11,High,Macro
patrickhubbard163,TikTok,Reel,Gaming,Brazil,Macro,553505,13620,448,23082,1146,802,234097,3.93,2023-10-16,High,Macro
dominique01285,YouTube,Reel,Tech,Germany,Micro,69230,25648,3957,6436,608,120,50922,7.62,2023-01-13,Viral,Micro
hbarker235,TikTok,Carousel,Tech,UK,Nano,3796,1600,1216,175,9,11,1072,4.15,2023-10-06,High,Nano
vincentwolf357,Twitter,Video,Sports,Japan,Nano,4097,3837,3989,285,27,13,0,7.96,2023-05-06,Viral,Nano
mary31693,Twitter,Carousel,Travel,Mexico,Micro,34265,18447,2614,1627,48,100,0,3.78,2023-01-24,High,Micro
dharrell515,TikTok,Image,Education,Mexico,Mega,2020147,15891,4202,33326,2052,1611,312420,1.47,2023-12-27,Medium,Mega
grantmejia595,YouTube,Reel,Fitness,France,Nano,8345,4358,3967,832,67,41,10203,10.8,2024-10-09,Viral,Nano
rickymartin536,Instagram,Live,Fitness,Brazil,Micro,31964,16311,4803,2184,115,100,0,5.8,2024-04-08,High,Micro
nicholsonrachel383,Twitter,Reel,Tech,France,Nano,9381,7293,3320,598,43,28,0,8.35,2023-09-25,Viral,Nano
meltonnicholas922,Instagram,Video,Sports,Brazil,Micro,30807,20314,4619,1955,119,29,0,5.37,2024-03-25,High,Micro
brianhahn360,Instagram,Video,Fashion,UK,Macro,752937,12586,3169,48836,2774,2581,0,5.08,2024-05-12,High,Macro
christina16637,Twitter,Video,Beauty,Brazil,Macro,143578,4366,174,3635,162,55,0,2.44,2023-04-21,Medium,Macro
vanessa46914,Twitter,Image,Sports,Germany,Nano,1939,893,126,92,6,4,0,5.79,2024-06-20,High,Nano
feverett422,Facebook,Carousel,Fashion,USA,Mega,8651440,46427,2045,61359,2390,759,0,0.95,2023-09-28,Low,Mega
dkoch317,Twitter,Story,Fashion,Canada,Micro,40687,37528,3419,1427,167,24,0,3.56,2024-05-17,High,Micro
johnsoneric526,Twitter,Video,Food,India,Nano,7548,2492,3865,850,94,56,0,10.41,2023-03-06,Viral,Nano
bmurray7,YouTube,Image,Beauty,Japan,Micro,19351,14969,2006,492,28,5,6851,2.48,2023-04-13,Medium,Micro
hector07780,YouTube,Image,Tech,USA,Nano,7484,884,2620,249,10,19,2581,3.22,2023-03-20,High,Nano
hesskenneth859,Facebook,Video,Gaming,Mexico,Nano,5400,3674,3804,563,17,36,0,9.19,2023-02-10,Viral,Nano
allison15960,Instagram,Carousel,Sports,Germany,Nano,7972,3072,1253,418,15,8,0,6.27,2024-08-27,Viral,Nano
wevans400,TikTok,Story,Gaming,USA,Micro,29117,26731,1287,387,42,17,5190,1.74,2024-09-01,Medium,Micro
fwillis713,TikTok,Carousel,Fashion,UK,Macro,874710,21438,1172,10070,922,695,110372,1.45,2023-12-06,Medium,Macro
joshua52676,Twitter,Carousel,Sports,France,Nano,3795,1815,1143,184,21,10,0,5.56,2023-04-29,High,Nano
wilsonanne822,Twitter,Live,Beauty,Germany,Micro,75239,256,1268,4800,501,371,0,5.04,2024-09-22,High,Micro
nguyenpaul12,YouTube,Video,Travel,USA,Macro,535495,34051,2526,5452,562,354,46597,1.05,2024-07-21,Medium,Macro
trodriguez582,Twitter,Image,Sports,India,Nano,5903,3519,3177,276,11,16,0,4.39,2023-06-28,High,Nano
comptonamanda842,Twitter,Video,Tech,Mexico,Macro,782354,16943,350,16796,1360,250,0,2.42,2023-11-01,Medium,Macro
bberry353,Facebook,Carousel,Fitness,France,Micro,44693,7835,3793,1314,145,44,0,2.58,2023-04-24,Medium,Micro
ronaldhorn437,YouTube,Carousel,Tech,Australia,Micro,86285,9669,1771,1384,144,64,18250,1.94,2024-01-22,Medium,Micro
morganjessica738,TikTok,Carousel,Music,Germany,Nano,5999,2907,2511,251,24,7,2043,3.61,2023-01-31,High,Nano
adamsglenn221,Instagram,Image,Food,Germany,Nano,7811,3041,2417,154,16,11,0,2.21,2023-06-26,Medium,Nano
jessicamartin687,YouTube,Image,Fitness,France,Macro,328970,39334,4301,1765,108,117,26175,0.59,2024-05-10,Low,Macro
goldentravis468,TikTok,Carousel,Sports,UK,Micro,38977,26099,3833,2958,241,29,16038,6.3,2024-11-19,Viral,Micro
riddlepaul625,Twitter,Video,Food,Germany,Macro,220795,41827,894,8231,457,527,0,2.97,2023-09-07,Medium,Macro
kimberly5824,TikTok,Image,Music,USA,Nano,9935,6266,535,393,36,15,1363,4.05,2024-01-09,High,Nano
brooksvictor37,TikTok,Reel,Sports,UK,Nano,7072,349,518,476,40,24,6165,9.12,2023-01-16,Viral,Nano
brandonsharp885,YouTube,Reel,Education,Brazil,Nano,1231,486,3393,119,6,5,565,8.8,2024-01-27,Viral,Nano
dianesullivan81,YouTube,Image,Gaming,Australia,Micro,39665,30167,513,1129,33,35,4459,2.55,2024-05-02,Medium,Micro
marcusgarcia752,TikTok,Video,Fitness,UK,Micro,48251,47976,2117,1946,81,127,21489,5.17,2024-06-02,High,Micro
ghooper266,YouTube,Live,Music,USA,Micro,49382,20457,2573,3717,124,177,37693,6.69,2024-04-30,Viral,Micro
danielle06570,YouTube,Story,Sports,Germany,Micro,54046,42809,1336,1610,114,82,20307,3.82,2024-07-31,High,Micro
owensarah626,Facebook,Story,Tech,UK,Mega,5827400,10020,2300,5267,469,0,0,0.1,2024-08-28,Low,Mega
zmedina956,Twitter,Video,Food,Australia,Micro,52168,47371,266,3306,189,164,0,5.37,2024-01-29,High,Micro
tmarshall756,YouTube,Live,Gaming,Mexico,Nano,4521,366,78,261,14,7,3694,6.86,2023-12-21,Viral,Nano
anne28319,TikTok,Image,Sports,France,Macro,292205,43890,4003,998,56,58,8436,0.28,2023-06-11,Low,Macro
floydrebecca853,TikTok,Story,Education,India,Nano,2556,944,1956,87,2,3,388,3.01,2023-10-29,High,Nano
johnberg974,Facebook,Live,Tech,USA,Micro,54537,35990,4068,2129,108,54,0,4.08,2023-11-28,High,Micro
jguerrero163,Facebook,Image,Beauty,Canada,Micro,20987,17746,2292,1372,152,88,0,5.24,2024-03-19,High,Micro
tranrichard431,Twitter,Image,Sports,Japan,Macro,308778,10206,685,9783,0,183,0,2.87,2024-07-16,Medium,Macro
gweeks37,Facebook,Live,Education,Canada,Nano,8735,2340,3612,644,19,16,0,7.46,2023-12-29,Viral,Nano
ramirezjesse293,Twitter,Reel,Sports,Mexico,Nano,3104,2221,3252,397,29,30,0,9.87,2024-03-06,Viral,Nano
ramirezdavid102,Facebook,Image,Travel,USA,Macro,187865,20921,4449,3914,227,0,0,2.77,2023-05-09,Medium,Macro
rachelsosa675,Facebook,Video,Gaming,India,Macro,886636,48577,3035,33298,1497,871,0,2.92,2024-08-31,Medium,Macro
christinachan330,Instagram,Reel,Beauty,Japan,Nano,2013,996,4233,185,17,4,0,7.66,2024-11-28,Viral,Nano
gabriel29842,TikTok,Carousel,Travel,India,Nano,5788,3941,4013,396,40,25,5782,5.85,2024-03-06,High,Nano
lauracervantes705,TikTok,Video,Music,Brazil,Nano,5005,3651,1994,436,16,15,5804,10.63,2024-04-19,Viral,Nano
ebryan690,Facebook,Reel,Gaming,India,Micro,17648,12610,3749,875,96,29,0,6.11,2024-10-18,Viral,Micro
mroberts278,TikTok,Video,Music,France,Macro,547256,48285,2845,7010,173,321,55498,1.71,2024-05-23,Medium,Macro
rodrigueznathan807,Instagram,Live,Fitness,USA,Nano,5456,3671,4669,241,22,6,0,6.24,2024-08-20,Viral,Nano
kevinhunter607,Twitter,Video,Fashion,India,Macro,678995,7025,4009,26121,928,1909,0,3.51,2023-05-05,High,Macro
tgonzalez341,YouTube,Live,Sports,UK,Micro,84237,40100,876,3099,245,206,30086,4.86,2024-02-28,High,Micro
alexanderallen130,Instagram,Video,Music,USA,Micro,57453,34173,272,5019,474,86,0,8.97,2023-05-09,Viral,Micro
whitney11346,Twitter,Image,Fitness,Mexico,Macro,450005,7135,4190,349,25,8,0,0.1,2024-03-22,Low,Macro
hannah20693,Instagram,Reel,Education,Brazil,Nano,2367,1107,2382,264,25,11,0,9.25,2024-05-15,Viral,Nano
geraldwalsh113,Twitter,Image,Beauty,France,Micro,74468,8458,4258,3146,179,51,0,4.43,2023-12-12,High,Micro
alvarezariel295,Twitter,Image,Sports,USA,Micro,71446,27193,1601,2905,153,137,0,5.37,2023-07-19,High,Micro
rbridges309,Instagram,Image,Beauty,India,Nano,5640,3506,4865,177,16,5,0,3.35,2024-04-01,High,Nano
gregorycaldwell916,TikTok,Reel,Beauty,Germany,Macro,665020,40390,1793,20005,1430,1444,298641,3.83,2023-05-11,High,Macro
laraangel56,TikTok,Carousel,Music,Canada,Mega,8903294,22411,543,152962,3670,9870,565501,1.98,2024-01-18,Medium,Mega
marilyn22234,Facebook,Live,Gaming,France,Micro,91219,32238,4478,4902,308,304,0,5.18,2023-03-22,High,Micro
rhorn847,TikTok,Video,Tech,France,Macro,772355,17376,2049,31742,3287,2366,391113,3.48,2024-04-14,High,Macro
beth94220,YouTube,Story,Sports,Australia,Micro,60127,32791,3458,1200,115,91,14735,2.17,2023-08-27,Medium,Micro
rebekahjensen533,Twitter,Reel,Education,Australia,Nano,2555,1131,4586,103,9,8,0,5.6,2023-04-25,High,Nano
paulacooke704,YouTube,Live,Fashion,India,Nano,5511,4010,1510,318,29,10,3836,8.02,2023-07-22,Viral,Nano
andrewsscott638,YouTube,Video,Travel,USA,Micro,67297,17583,4118,4262,205,172,31179,6.75,2024-10-19,Viral,Micro
hillrhonda89,Twitter,Story,Music,Canada,Mega,6866258,30590,2922,22471,1855,1365,0,0.27,2024-09-05,Low,Mega
nmitchell22,Twitter,Story,Fitness,Japan,Nano,1887,1738,1459,115,9,8,0,4.86,2023-04-09,High,Nano
rfrey150,Facebook,Live,Travel,UK,Macro,803185,35620,3496,15332,916,711,0,1.89,2023-11-05,Medium,Macro
villegasanthony752,Instagram,Video,Travel,UK,Mega,6552571,9262,2605,81052,3471,1092,0,1.68,2023-02-10,Medium,Mega
rileycortez772,Twitter,Reel,Beauty,USA,Mega,4740567,24581,4926,170289,6433,8412,0,4.33,2024-10-07,High,Mega
allisonchang556,Facebook,Reel,Food,India,Micro,92917,3621,3924,5085,185,306,0,4.94,2024-03-10,High,Micro
ipotts739,Twitter,Reel,Food,UK,Micro,84422,22072,1616,4320,298,89,0,5.28,2023-10-15,High,Micro
whill183,YouTube,Video,Beauty,Brazil,Mega,9591777,38507,4731,204381,18066,6395,2631871,1.98,2023-03-09,Medium,Mega
charlesfoley734,Instagram,Video,Music,France,Micro,15576,4682,1446,1051,123,12,0,7.61,2024-02-19,Viral,Micro
toddmichael893,TikTok,Image,Travel,Australia,Macro,328305,41143,2404,4142,206,225,27899,1.69,2024-05-08,Medium,Macro
vsmith36,Twitter,Image,Food,Australia,Macro,591836,47782,2421,629,70,42,0,0.1,2023-04-11,Low,Macro
christina53701,Instagram,Reel,Tech,Australia,Macro,668309,31566,721,20159,566,682,0,2.6,2024-05-17,Medium,Macro
danielbell998,Facebook,Reel,Travel,USA,Nano,5486,4906,2258,482,41,29,0,7.91,2024-10-21,Viral,Nano
hickmanricky453,TikTok,Video,Sports,Japan,Micro,73101,45269,4362,3593,197,48,29065,6.51,2023-08-08,Viral,Micro
beth01884,Facebook,Carousel,Education,Australia,Nano,8587,1515,1607,416,11,21,0,6.27,2024-11-12,Viral,Nano
tyler84972,Twitter,Live,Fashion,India,Nano,8185,2607,2276,659,41,14,0,7.7,2023-10-25,Viral,Nano
tami8090,YouTube,Video,Fashion,Brazil,Micro,75139,27863,2359,3360,320,132,41654,4.47,2024-09-03,High,Micro
gabrielbryan880,Facebook,Reel,Music,Germany,Micro,77004,605,1471,5514,260,329,0,7.22,2024-07-20,Viral,Micro
tina90909,Twitter,Story,Education,India,Micro,37134,34919,4033,711,40,56,0,1.95,2024-01-31,Medium,Micro
joshua01142,TikTok,Image,Fashion,,Nano,7857,1519,1239,377,8,17,2137,5.5,2023-03-19,High,Nano
arianalara294,YouTube,Reel,Gaming,Germany,Macro,825839,24339,2592,36696,3416,374,233935,3.77,2023-04-11,High,Macro
carterdavid63,Facebook,Image,Gaming,Japan,Nano,5149,1346,4560,264,16,6,0,5.16,2023-03-13,High,Nano
hollandbrittany490,Instagram,Image,Fitness,France,Micro,79229,43041,3776,2804,176,50,0,3.2,2024-09-19,High,Micro
kayleebush595,Facebook,Image,Travel,Mexico,Macro,357709,36401,3529,10981,1015,514,0,3.06,2024-06-18,High,Macro
omcdonald256,Facebook,Image,Beauty,Canada,Nano,8330,1779,4421,307,32,12,0,4.47,2023-05-26,High,Nano
mcconnellian262,TikTok,Video,Education,Mexico,Macro,762499,8820,2958,28376,1929,2220,164414,3.48,2024-06-12,High,Macro
villanuevapatricia419,Facebook,Reel,Fashion,Brazil,Mega,5853906,3869,2884,220316,24426,14232,0,4.67,2023-06-07,High,Mega
montoyajohn494,Twitter,Image,Music,USA,Macro,571359,27186,4419,13516,887,1063,0,2.51,2024-09-08,Medium,Macro
nkramer288,Instagram,Story,Food,Mexico,Nano,8173,7429,4713,216,13,16,0,3.09,2024-05-12,High,Nano
blackwellcarlos359,Instagram,Live,Gaming,UK,Mega,3353606,18427,1250,3128,79,82,0,0.1,2024-02-03,Low,Mega
elizabeth27996,Instagram,Story,Music,Germany,Macro,216423,13959,674,231,23,14,0,0.1,2024-01-09,Low,Macro
nelsonlisa724,Twitter,Image,Fitness,Australia,Micro,36724,34401,3260,1163,63,0,0,2.99,2024-11-24,Medium,Micro
watsonjeffrey707,TikTok,Image,Music,France,Micro,11086,9413,3562,223,18,11,2036,2.81,2023-11-17,Medium,Micro
ftate241,Instagram,Carousel,Food,Germany,Micro,50692,32066,4985,1635,109,41,0,3.22,2023-11-26,High,Micro
tanyawyatt892,Twitter,Carousel,Sports,Mexico,Micro,18060,15059,3652,740,68,37,0,4.13,2023-11-11,High,Micro
stephensonkyle863,Twitter,Live,Food,France,Mega,4975238,30260,1122,223024,4694,9985,0,3.53,2024-05-02,High,Mega
jeremy48694,Twitter,Story,Education,Japan,Micro,41881,16624,896,1260,112,91,0,2.48,2024-08-31,Medium,Micro
kendrawilliams701,Instagram,Video,Gaming,Canada,Macro,173791,519,2811,3073,355,38,0,2.23,2024-09-24,Medium,Macro
millerrobert347,Instagram,Carousel,Beauty,Canada,Macro,463217,9514,1294,11817,495,602,0,2.03,2024-03-22,Medium,Macro
rkeller615,YouTube,Image,Tech,UK,Nano,9783,9514,4694,362,18,23,1909,2.87,2024-07-31,Medium,Nano
jonesdavid14,YouTube,Image,Fashion,Brazil,Micro,51527,48466,2870,1073,56,79,9420,2.17,2023-03-08,Medium,Micro
eduardo10704,Twitter,Image,Gaming,USA,Micro,18349,16565,346,465,33,20,0,2.14,2023-01-26,Medium,Micro
pharris518,Twitter,Story,Sports,Brazil,Macro,252321,38307,4265,617,31,29,0,0.33,2023-05-19,Low,Macro
wmiller585,Facebook,Image,Fashion,UK,Micro,17393,12660,2634,180,4,6,0,1.13,2023-04-20,Medium,Micro
tiffany66279,Instagram,Image,Gaming,India,Nano,9950,4416,2680,334,40,16,0,3.69,2023-10-06,High,Nano
kristinawest260,Instagram,Story,Travel,Canada,Mega,8178453,32840,1539,7458,378,110,0,0.1,2024-01-17,Low,Mega
brittney14279,Facebook,Reel,Fitness,Canada,Micro,54073,24448,397,1229,43,0,0,2.42,2023-11-13,Medium,Micro
njenkins444,Twitter,Video,Beauty,India,Macro,245257,22023,1821,17895,1982,1021,0,6.06,2024-01-21,Viral,Macro
jennifer83587,Instagram,Carousel,Fashion,France,Micro,77020,21715,3517,4917,414,288,0,5.27,2024-05-02,High,Micro
meganadams750,YouTube,Story,Food,Mexico,Micro,44937,21438,1572,450,15,22,4555,1.2,2024-08-03,Medium,Micro
johnsonjorge77,Twitter,Video,Sports,USA,Nano,8464,3168,2537,776,76,34,0,9.62,2023-04-14,Viral,Nano
rlewis627,Facebook,Video,Tech,Japan,Micro,98308,7247,4533,3980,272,93,0,5.19,2023-01-08,High,Micro
dschneider528,Facebook,Image,Food,Germany,Micro,31296,6892,117,1242,91,79,0,4.67,2023-07-05,High,Micro
jeff6033,Twitter,Carousel,Tech,France,Micro,62875,2332,4363,5016,555,188,0,6.24,2023-02-11,Viral,Micro
